ID	logFC	CI.025	CI.975	AveExpr	t	P.Value	adj.P.Val	B	modLog10P	signLog10P
CEBPD	0.632449644362653	0.373256512719449	0.891642776005857	10.673732190706	4.80050925498626	2.42795267245498E-6	8.29586734795048E-4	4.49348608724378	5.61476	5.61476
CHI3L1	1.68666385203453	1.01923373099531	2.35409397307376	11.6466236354212	4.97173054047522	1.08119913912683E-6	5.33816790671926E-4	5.23305257280601	5.966094	5.966094
CHI3L2	1.02067384208055	0.432788603475452	1.60855908068566	8.07735149700454	3.41569651707916	7.17760676088395E-4	0.0231178751090137	-0.638026674589997	3.14402	3.14402
CHL1	1.49879935429916	0.987456413199131	2.01014229539919	8.35448556589008	5.76655023705345	1.89832748138377E-8	3.87807570930623E-5	8.94790802114783	7.721629	7.721629
CHRM3	0.618613464887944	0.255473994039825	0.981752935736063	5.79473985134402	3.35143468446198	8.99685711953811E-4	0.0264097615952011	-0.837794414695863	3.045909	3.045909
CHST2	0.644225263280336	0.34535181072275	0.943098715837922	8.3100026759563	4.24067762449725	2.91617575477903E-5	0.00401739301504905	2.23304374654054	4.535186	4.535186
CLEC2B	0.596018778348346	0.211939320436734	0.980098236259958	8.41858027097915	3.05297825178892	0.00245479280636247	0.043789727061189	-1.71912678804291	2.609985	2.609985
CLEC5A	0.803556879564558	0.401500957545944	1.20561280158317	6.39146885251719	3.93201356868674	1.0319191504204E-4	0.00816097892209037	1.09319175073228	3.986354	3.986354
CNGA3	0.640325895904003	0.231542291690978	1.04910950011703	6.72341661292359	3.08171480603318	0.00223594310963226	0.0417036359616933	-1.63761877605747	2.650539	2.650539
CNR1	0.74451760045388	0.279115604175732	1.20991959673203	7.65043192867794	3.14725240988764	0.00180234853200494	0.0379861512083136	-1.44904700825831	2.744161	2.744161
COL5A2	0.643305184820141	0.220468362664922	1.06614200697536	8.63012219455548	2.9931542541525	0.00297486991910087	0.0483565524913909	-1.88650421530813	2.526532	2.526532
COL9A3	0.827091962272734	0.326279097459082	1.32790482708639	6.04608502444571	3.24910069831929	0.00128004724107054	0.0323018655468316	-1.14862825866546	2.892774	2.892774
CPQ	0.571886998247312	0.345056652403392	0.798717344091231	7.38930820926172	4.96013978384458	1.14286841590979E-6	5.33816790671926E-4	5.18229074226106	5.942004	5.942004
CSRP1	0.683162056000786	0.405878361425788	0.960445750575784	10.2515652747113	4.84712536606739	1.95233360592488E-6	7.98933488412434E-4	4.69264134165438	5.709446	5.709446
CST3	0.511313945445647	0.19262107587394	0.830006815017353	11.7021233864186	3.15645889891129	0.00174807893886127	0.0377491711655546	-1.42225906683854	2.757439	2.757439
CXCL11	0.618242444298742	0.232040142459105	1.00444474613838	4.16639872644903	3.14940713542908	0.00178950938878073	0.0379861512083136	-1.44278401761846	2.747266	2.747266
CXCL14	1.28165809186778	0.612436990176971	1.9508791935586	8.68881913913958	3.76779620943652	1.95846744259913E-4	0.0109969548392819	0.518469107388531	3.708084	3.708084
CXCL8	1.05048720865018	0.405381188748702	1.69559322855166	8.79481233204393	3.20364600470201	0.00149286379312354	0.0353862126363219	-1.28380994879793	2.82598	2.82598
DEPP1	0.518459246013573	0.182233335236804	0.854685156790343	8.24483139503911	3.03366969266183	0.00261272399423387	0.0455729054586384	-1.7734897845905	2.582906	2.582906
DIRAS3	1.04119057310582	0.594024616493679	1.48835652971797	6.76059125066923	4.58085286126716	6.63086954132034E-6	0.00153769864663219	3.57744917188894	5.17843	5.17843
DPYD	0.751766429953565	0.368676092314452	1.13485676759268	8.60781275554505	3.86070464176308	1.36665640367165E-4	0.0094605259704912	0.84089545269345	3.864341	3.864341
DRAM1	0.541691248469644	0.26922370302878	0.814158793910508	6.95522933191337	3.91130683979235	1.12011352885044E-4	0.00857315438208545	1.01949933806522	3.950738	3.950738
DUSP6	0.704873189732394	0.406180729853664	1.00356564961112	9.52165986425366	4.64271024977409	5.01585605546787E-6	0.00129241891029222	3.83165442889234	5.299655	5.299655
DYNLT3	0.692954115556915	0.436300613534241	0.949607617579589	9.8987697063249	5.31180509884892	2.0300617321117E-7	2.17279068773863E-4	6.76673476921957	6.692491	6.692491
EFEMP1	0.831882977476814	0.379551163093001	1.28421479186063	10.9854543706527	3.61817818325445	3.44397300153108E-4	0.0144343766402729	0.0143167495985317	3.46294	3.46294
EFEMP2	1.06648024412464	0.766077764437315	1.36688272381197	8.57943517738297	6.98448114318942	1.64713803582623E-11	2.29182786304862E-7	15.4716942714516	10.78327	10.78327
EFNB2	0.551780666141328	0.263947770150824	0.839613562131832	8.77980613623193	3.77147210120675	1.93104599925193E-4	0.0109969548392819	0.531090020077695	3.714207	3.714207
ELOVL2	0.953602421143996	0.430866977025776	1.47633786526222	7.22847643317882	3.58897343838373	3.83682960117569E-4	0.0154741006002199	-0.0819072733804287	3.416027	3.416027
EMP1	0.594921520708864	0.27277605089389	0.917066990523838	10.7285281393641	3.63322671221519	3.25661791813602E-4	0.0142276988991837	0.0641781662886549	3.487233	3.487233
EMP3	0.99311413827221	0.571355504160867	1.41487277238355	9.70204576962104	4.63254909061296	5.2522766284855E-6	0.00132837496076493	3.78969340757441	5.279652	5.279652
ERAP1	0.511510972352993	0.255242922895411	0.767779021810576	7.6300289985035	3.92685927905365	1.05323542864561E-4	0.00827950155603109	1.07481546261356	3.977475	3.977475
ETV5	0.541840917594497	0.24319359461989	0.840488240569104	8.32213886745089	3.56942301448148	4.12292497214339E-4	0.0162510986012473	-0.145921648115581	3.384795	3.384795
F3	0.822418525874475	0.497722880872575	1.14711417087638	8.99258600216116	4.98311911624	1.02374582589835E-6	5.27570348946285E-4	5.28302698625802	5.989808	5.989808
FABP5	0.805236622762152	0.275761685322469	1.33471156020183	9.71504324008843	2.99200943424168	0.0029857411549105	0.0483565524913909	-1.88967678574481	2.524948	2.524948
FABP5P1	0.805236622762152	0.275761685322469	1.33471156020183	9.71504324008843	2.99200943424168	0.0029857411549105	0.0483565524913909	-1.88967678574481	2.524948	2.524948
FABP5P11	0.805236622762152	0.275761685322469	1.33471156020183	9.71504324008843	2.99200943424168	0.0029857411549105	0.0483565524913909	-1.88967678574481	2.524948	2.524948
FABP5P2	0.805236622762152	0.275761685322469	1.33471156020183	9.71504324008843	2.99200943424168	0.0029857411549105	0.0483565524913909	-1.88967678574481	2.524948	2.524948
FABP5P7	0.805236622762152	0.275761685322469	1.33471156020183	9.71504324008843	2.99200943424168	0.0029857411549105	0.0483565524913909	-1.88967678574481	2.524948	2.524948
FABP7	1.16016153700529	0.530131567605863	1.79019150640471	11.1132077531262	3.62278117355871	3.38561642689626E-4	0.0144343766402729	0.0295480249026969	3.470362	3.470362
FBLN5	0.910441334811865	0.492678891393595	1.32820377823013	6.97570843915909	4.28753244838363	2.3910420920267E-5	0.00350199575457469	2.41278124388078	4.621413	4.621413
FGFR3	1.07266173344154	0.536319117685834	1.60900434919725	7.99939731357871	3.93464296117404	1.02120313608748E-4	0.00816097892209037	1.10257455933862	3.990888	3.990888
FKBP9	0.570295247657171	0.331506013279442	0.8090844820349	9.53660192824162	4.6986149597591	3.88749798903799E-6	0.00114722596762281	4.0639405334739	5.41033	5.41033
FKBP9P1	0.570295247657171	0.331506013279442	0.8090844820349	9.53660192824162	4.6986149597591	3.88749798903799E-6	0.00114722596762281	4.0639405334739	5.41033	5.41033
FMOD	1.17401877028442	0.79143426878548	1.55660327178335	6.38249499068131	6.03715762860818	4.32096246797462E-9	2.00406239264663E-5	10.3140086865182	8.36442	8.36442
FZD7	0.829023296298728	0.457669861556695	1.20037673104076	7.57887652889065	4.39201826172983	1.52602759210699E-5	0.00277746340841699	2.81988366356277	4.816438	4.816438
